onset,duration,run_number,trial_number,task,fixation_location,pursuit_amplitude,pursuit_angle,image_id,trial_onset,trial_offset,check_fix_onset,iti_onset,iti_offset,fixation_onset,fixation_offset,pursuit_onset,pursuit_offset,freeview_onset,freeview_offset,iti_duration,fixation_duration,pursuit_duration,freeview_duration
3675.185815,5.9907796,1,1,1,13.0,,,,3664986.0,3670985.0,0.0,3664992.0,3670984.0,0.0,0.0,0.0,0.0,0.0,0.0,5992.0,0.0,0.0,0.0
3681.184928,1.1914693,1,2,2,9.0,,,,3670985.0,3672185.0,0.0,0.0,0.0,3670991.0,3672184.0,0.0,0.0,0.0,0.0,0.0,1193.0,0.0,0.0
3682.384728,1.1915385,1,3,2,5.0,,,,3672185.0,3673384.0,0.0,0.0,0.0,3672190.0,3673384.0,0.0,0.0,0.0,0.0,0.0,1194.0,0.0,0.0
3683.584593,1.1914726,1,4,2,3.0,,,,3673384.0,3674583.0,0.0,0.0,0.0,3673390.0,3674583.0,0.0,0.0,0.0,0.0,0.0,1193.0,0.0,0.0
3684.784398,1.191492,1,5,2,10.0,,,,3674585.0,3675785.0,0.0,0.0,0.0,3674590.0,3675783.0,0.0,0.0,0.0,0.0,0.0,1193.0,0.0,0.0
3685.984223,1.1915254,1,6,2,12.0,,,,3675786.0,3676985.0,0.0,0.0,0.0,3675790.0,3676984.0,0.0,0.0,0.0,0.0,0.0,1194.0,0.0,0.0
3687.184186,1.1913785,1,7,2,22.0,,,,3676985.0,3678183.0,0.0,0.0,0.0,3676990.0,3678183.0,0.0,0.0,0.0,0.0,0.0,1193.0,0.0,0.0
3688.383884,1.1915302,1,8,2,21.0,,,,3678183.0,3679383.0,0.0,0.0,0.0,3678189.0,3679383.0,0.0,0.0,0.0,0.0,0.0,1194.0,0.0,0.0
3689.583739,1.191709768,1,9,2,18.0,,,,3679383.0,3680583.0,0.0,0.0,0.0,3679389.0,3680583.0,0.0,0.0,0.0,0.0,0.0,1194.0,0.0,0.0
3690.78367,1.1913629,1,10,2,23.0,,,,3680584.0,3681783.0,0.0,0.0,0.0,3680589.0,3681782.0,0.0,0.0,0.0,0.0,0.0,1193.0,0.0,0.0
3691.983394,1.1914803,1,11,2,20.0,,,,3681783.0,3682982.0,0.0,0.0,0.0,3681789.0,3682982.0,0.0,0.0,0.0,0.0,0.0,1193.0,0.0,0.0
3693.183311,1.1913988,1,12,2,14.0,,,,3682982.0,3684182.0,0.0,0.0,0.0,3682989.0,3684182.0,0.0,0.0,0.0,0.0,0.0,1193.0,0.0,0.0
3694.38304,1.1915114,1,13,2,19.0,,,,3684182.0,3685382.0,0.0,0.0,0.0,3684189.0,3685382.0,0.0,0.0,0.0,0.0,0.0,1193.0,0.0,0.0
3695.582881,1.1914544,1,14,2,25.0,,,,3685382.0,3686582.0,0.0,0.0,0.0,3685389.0,3686581.0,0.0,0.0,0.0,0.0,0.0,1192.0,0.0,0.0
3696.782819,1.1913454,1,15,2,5.0,,,,3686582.0,3687782.0,0.0,0.0,0.0,3686588.0,3687782.0,0.0,0.0,0.0,0.0,0.0,1194.0,0.0,0.0
3697.982654,1.1913816,1,16,2,13.0,,,,3687782.0,3688981.0,0.0,0.0,0.0,3687788.0,3688981.0,0.0,0.0,0.0,0.0,0.0,1193.0,0.0,0.0
3699.182371,1.1914635,1,17,2,23.0,,,,3688981.0,3690182.0,0.0,0.0,0.0,3688988.0,3690181.0,0.0,0.0,0.0,0.0,0.0,1193.0,0.0,0.0
3700.382293,1.191354,1,18,2,10.0,,,,3690182.0,3691381.0,0.0,0.0,0.0,3690188.0,3691381.0,0.0,0.0,0.0,0.0,0.0,1193.0,0.0,0.0
3701.582184,1.1913108,1,19,2,15.0,,,,3691381.0,3692581.0,0.0,0.0,0.0,3691388.0,3692580.0,0.0,0.0,0.0,0.0,0.0,1192.0,0.0,0.0
3702.781961,1.1913847,1,20,2,4.0,,,,3692581.0,3693781.0,0.0,0.0,0.0,3692588.0,3693781.0,0.0,0.0,0.0,0.0,0.0,1193.0,0.0,0.0
3703.981813,1.1914268,1,21,2,17.0,,,,3693781.0,3694980.0,0.0,0.0,0.0,3693788.0,3694980.0,0.0,0.0,0.0,0.0,0.0,1192.0,0.0,0.0
3705.181493,1.1915034,1,22,2,3.0,,,,3694980.0,3696181.0,0.0,0.0,0.0,3694987.0,3696181.0,0.0,0.0,0.0,0.0,0.0,1194.0,0.0,0.0
3706.381328,1.1914818,1,23,2,6.0,,,,3696181.0,3697380.0,0.0,0.0,0.0,3696187.0,3697380.0,0.0,0.0,0.0,0.0,0.0,1193.0,0.0,0.0
3707.581152,1.1914835,1,24,2,16.0,,,,3697380.0,3698579.0,0.0,0.0,0.0,3697387.0,3698579.0,0.0,0.0,0.0,0.0,0.0,1192.0,0.0,0.0
3708.780984,1.1914732,1,25,2,17.0,,,,3698580.0,3699780.0,0.0,0.0,0.0,3698587.0,3699780.0,0.0,0.0,0.0,0.0,0.0,1193.0,0.0,0.0
